S.No,Place,Country,State,CoornidateY,CoornidateX
1,Chennai,India,Tamil Nadu,13.084003799065043, 80.27540951935151
2,Kolli Hills,India,Tamil Nadu,11.205374137134177, 78.301920461804
3,Yercaud,India,Tamil Nadu,11.776974184823942, 78.20978922457778
